tnse	tsne2
-40.73234	69.8561
11.08387	8.088427
29.313992	-5.694318
6.536221	15.887541
80.42305	-3.512178
33.069283	-66.4202
24.291447	42.155514
19.48449	-64.47589
-57.512913	61.59739
13.86727	5.288947
-51.9579	-48.54428
-51.538754	-48.162926
3.064097	17.346169
30.050165	-62.439663
-59.303295	2.2324493
-41.765915	-12.172416
-47.37535	51.75942
-2.1638699	-67.97898
-18.27608	67.83696
-52.304123	-47.416595
63.668484	-18.06299
96.44632	-12.928901
39.226124	60.996243
51.362343	-18.962881
74.2086	31.311813
40.193207	58.797646
37.21132	69.119194
59.12662	23.859621
77.1397	20.541796
73.768295	29.892496
-41.622116	29.53719
26.20165	71.12709
18.159538	1.8989469
30.541672	-60.730095
3.0071669	8.16011
44.891106	31.327595
-54.952843	23.220964
-8.044054	-36.386288
-25.10239	27.481703
12.846054	34.56117
-50.021423	-1.2401491
31.043636	-61.23893
22.139103	-62.489773
-48.765415	3.5216498
44.07992	14.256607
-71.552505	52.350193
-71.55454	52.345467
81.51513	-3.8213625
15.24652	12.723553
14.45653	37.047634
-9.077461	55.866955
18.586407	-57.977985
-51.367317	-49.039265
14.415882	36.900932
23.633276	42.3576
-0.114202805	-50.431976
16.852142	-40.603916
26.088808	70.825485
-32.813747	3.9270196
24.843243	-57.560623
27.30016	-64.63829
-16.463133	31.83361
24.579185	-48.85741
50.823307	4.881844
27.455067	-64.67724
26.72044	-43.756992
18.370092	0.38376123
-55.60855	60.111317
28.646845	-12.132944
12.684072	-2.5037196
5.079187	-45.762302
-43.75904	-52.822422
2.996692	-45.37725
74.29426	4.809815
26.835981	73.5011
-36.00926	-4.560022
-8.50793	-42.96942
-60.909397	58.361984
11.83685	-9.432905
11.845865	-9.441264
21.755865	-65.974106
24.348715	-45.405243
16.789122	9.118996
-19.017124	26.03856
-76.34577	12.892155
26.752235	-48.270073
10.7377	-14.564014
10.737683	-14.564055
14.88187	-41.0591
17.32639	12.855169
21.83775	-65.898285
-19.836975	19.853172
29.92008	-12.540775
-67.0954	56.674435
-11.602063	-61.280174
-5.2870584	-67.85271
-7.423393	66.92654
21.075949	-52.407764
14.663063	6.394508
30.10279	-8.772524
0.9800528	-62.624004
31.531172	-61.68205
16.793636	-52.09041
26.775244	74.41549
29.055681	-5.4272294
29.261364	-58.804615
28.835041	-5.426556
28.175558	-48.667446
4.4524837	24.107641
3.16806	-77.16792
12.194665	-71.0543
-22.012411	37.77765
10.874722	6.7003713
30.292507	-64.72705
-2.128644	58.574776
-3.100678	53.42438
-3.1003988	53.424126
-40.414703	69.34354
-67.9529	48.166447
-39.771923	52.274513
-69.69108	47.18502
14.581524	6.8365955
5.0310307	-40.32275
5.032536	-40.33338
-6.0462036	-57.354496
-6.066179	-57.376854
28.512733	-58.430042
9.125855	-66.663086
8.455219	-66.55356
-11.622125	-29.43616
-42.13045	31.853756
-11.622125	-29.43616
17.351107	38.45936
13.32828	10.91208
2.9429295	48.37933
2.9429295	48.37933
20.310335	-54.827244
20.31041	-54.82645
16.095661	10.485556
16.095661	10.485556
43.34264	15.1470375
-47.84921	-3.6028216
-26.460766	50.70189
34.251766	-67.31969
6.7329617	14.692654
31.635117	-60.88287
12.409319	8.770032
-51.85636	-48.45045
-15.12447	-62.766804
-49.96949	1.8323321
-6.56701	-69.51397
26.984514	-63.806652
45.48975	-2.6832476
52.56769	34.8468
11.950633	-44.692818
19.013193	0.26622608
79.7738	-3.3958344
37.607735	64.57372
30.203392	-58.1238
10.204599	8.495647
27.565596	-41.071617
-11.582934	-77.89733
-3.309268	-1.0342112
12.051123	-32.01508
-68.06607	55.2613
19.1096	0.113321096
81.63364	25.31556
-2.7570877	-4.7367873
6.012678	0.21801838
-63.884926	10.677484
-63.88517	10.677437
16.012812	5.700083
16.017176	0.51459146
9.280466	41.372192
9.018137	2.2805374
64.76931	-7.5855684
21.57026	2.3382514
21.57026	2.3382514
26.411694	-40.310886
26.686895	-41.176884
30.554276	-65.78062
-4.596589	33.203766
26.769516	-46.64234
-35.003414	-42.148224
46.291946	29.990541
51.68226	33.112564
51.68226	33.112564
28.801048	-57.95885
26.70855	73.850716
25.80253	-63.37805
26.287704	-40.616013
46.307545	30.030107
74.19039	16.213535
77.72088	12.505863
55.11	-2.7398899
27.968945	-40.920216
58.9356	1.6072708
33.508392	-7.3594685
52.557	31.951403
58.025272	-40.829105
70.77873	31.446405
63.48562	28.663078
